date,repo,issues_opened_external,issues_closed_via_pr_external,issues_closed_other_external,prs_opened_core,pr_reviews_external
2026-04-06,fullsend,0,0,0,5,1
2026-04-06,.fullsend,0,0,0,0,0
2026-04-06,experiments,0,0,0,0,0
2026-04-06,metrics,0,0,0,0,0
2026-04-06,features,0,0,0,0,0
2026-04-06,agents,0,0,0,0,0
2026-04-06,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-06,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-07,fullsend,0,0,0,9,0
2026-04-07,.fullsend,0,0,0,0,0
2026-04-07,experiments,0,0,0,0,0
2026-04-07,metrics,0,0,0,0,0
2026-04-07,features,0,0,0,0,0
2026-04-07,agents,0,0,0,0,0
2026-04-07,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-07,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-08,fullsend,0,0,0,6,1
2026-04-08,.fullsend,0,0,0,0,0
2026-04-08,experiments,0,0,0,0,0
2026-04-08,metrics,0,0,0,0,0
2026-04-08,features,0,0,0,0,0
2026-04-08,agents,0,0,0,0,0
2026-04-08,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-08,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-09,fullsend,0,0,0,3,1
2026-04-09,.fullsend,0,0,0,0,0
2026-04-09,experiments,0,0,0,0,0
2026-04-09,metrics,0,0,0,0,0
2026-04-09,features,0,0,0,0,0
2026-04-09,agents,0,0,0,0,0
2026-04-09,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-09,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-10,fullsend,0,0,0,6,0
2026-04-10,.fullsend,0,0,0,0,0
2026-04-10,experiments,0,0,0,0,0
2026-04-10,metrics,0,0,0,0,0
2026-04-10,features,0,0,0,0,0
2026-04-10,agents,0,0,0,0,0
2026-04-10,fullsend-ghsa-v8pv-w826-q8jg,0,0,0,0,0
2026-04-10,agents-ghsa-pf26-wpm8-8h86,0,0,0,0,0
2026-04-11,fullsend,0,0,0,0,0
2026-04-11,.fullsend,0,0,0,0,0
2026-04-11,experiments,0,0,0,0,0
2026-04-11,metrics,0,0,0,0,0
