date,repo,feat,fix,docs,ci,chore,test,perf,other,fix_core,fix_external,fix_bot,fix_unlinked
2026-05-14,fullsend,9,6,3,0,0,0,0,0,2,0,0,4
2026-05-14,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-15,fullsend,8,12,3,0,2,0,0,2,2,0,1,9
2026-05-15,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-16,fullsend,1,4,1,0,0,0,0,0,0,0,0,4
2026-05-16,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-17,fullsend,0,1,1,0,0,0,0,0,0,0,0,1
2026-05-17,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-18,fullsend,0,6,1,0,1,0,0,0,0,0,0,6
2026-05-18,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19,fullsend,2,9,2,1,1,0,0,2,1,0,0,8
2026-05-19,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-20,fullsend,2,2,0,0,0,0,0,0,0,0,0,2
2026-05-20,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-21,fullsend,7,4,3,0,0,0,0,1,1,0,2,1
2026-05-21,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-22,fullsend,0,1,0,0,0,0,0,0,0,0,0,1
2026-05-22,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-23,fullsend,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-23,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-24,fullsend,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-24,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25,fullsend,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-26,fullsend,6,15,5,0,1,0,0,1,1,2,3,9
2026-05-26,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-27,fullsend,7,1,4,0,1,0,0,0,0,0,1,0
2026-05-27,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-28,fullsend,1,10,7,1,0,0,0,2,1,1,1,7
2026-05-28,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-29,fullsend,1,4,1,0,0,0,0,1,0,0,0,4
2026-05-29,agents,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-30,fullsend,0,0,1,0,0,0,0,0,0,0,0,0
