date,repo,merged_prs,fix_prs,defect_prs,revert_prs,revert_commits,defect_rate,revert_rate
2026-05-14,agents,0,0,0,0,0,0.0000,0.0000
2026-05-14,fullsend,18,6,0,0,0,0.0000,0.0000
2026-05-15,agents,0,0,0,0,0,0.0000,0.0000
2026-05-15,fullsend,27,12,0,0,0,0.0000,0.0000
2026-05-16,agents,0,0,0,0,0,0.0000,0.0000
2026-05-16,fullsend,6,4,0,0,0,0.0000,0.0000
2026-05-17,agents,0,0,0,0,0,0.0000,0.0000
2026-05-17,fullsend,2,1,0,0,0,0.0000,0.0000
2026-05-18,agents,0,0,0,0,0,0.0000,0.0000
2026-05-18,fullsend,8,6,0,0,0,0.0000,0.0000
2026-05-19,agents,0,0,0,0,0,0.0000,0.0000
2026-05-19,fullsend,17,9,0,0,0,0.0000,0.0000
2026-05-20,agents,0,0,0,0,0,0.0000,0.0000
2026-05-20,fullsend,4,2,0,0,0,0.0000,0.0000
2026-05-21,agents,0,0,0,0,0,0.0000,0.0000
2026-05-21,fullsend,15,4,0,0,0,0.0000,0.0000
2026-05-22,agents,0,0,0,0,0,0.0000,0.0000
2026-05-22,fullsend,1,1,0,0,0,0.0000,0.0000
2026-05-23,agents,0,0,0,0,0,0.0000,0.0000
2026-05-23,fullsend,0,0,0,0,0,0.0000,0.0000
2026-05-24,agents,0,0,0,0,0,0.0000,0.0000
2026-05-24,fullsend,0,0,0,0,0,0.0000,0.0000
2026-05-25,agents,0,0,0,0,0,0.0000,0.0000
2026-05-25,fullsend,0,0,0,0,0,0.0000,0.0000
2026-05-26,agents,0,0,0,0,0,0.0000,0.0000
2026-05-26,fullsend,28,15,0,0,0,0.0000,0.0000
2026-05-27,agents,0,0,0,0,0,0.0000,0.0000
2026-05-27,fullsend,13,1,0,0,0,0.0000,0.0000
2026-05-28,agents,0,0,0,0,0,0.0000,0.0000
2026-05-28,fullsend,21,10,0,0,0,0.0000,0.0000
2026-05-29,agents,0,0,0,0,0,0.0000,0.0000
2026-05-29,fullsend,7,4,0,0,0,0.0000,0.0000
2026-05-30,agents,0,0,0,0,0,0.0000,0.0000
2026-05-30,fullsend,1,0,0,0,0,0.0000,0.0000
2026-05-31,agents,0,0,0,0,0,0.0000,0.0000
2026-05-31,fullsend,0,0,0,0,0,0.0000,0.0000
2026-06-01,agents,0,0,0,0,0,0.0000,0.0000
2026-06-01,fullsend,17,9,0,0,0,0.0000,0.0000
2026-06-02,agents,0,0,0,0,0,0.0000,0.0000
2026-06-02,fullsend,6,4,0,0,0,0.0000,0.0000
2026-06-03,agents,0,0,0,0,0,0.0000,0.0000
2026-06-03,fullsend,6,4,0,0,0,0.0000,0.0000
2026-06-04,agents,0,0,0,0,0,0.0000,0.0000
2026-06-04,fullsend,17,9,0,0,0,0.0000,0.0000
2026-06-05,agents,0,0,0,0,0,0.0000,0.0000
2026-06-05,fullsend,19,8,0,0,0,0.0000,0.0000
2026-06-06,agents,0,0,0,0,0,0.0000,0.0000
2026-06-06,fullsend,3,2,0,0,0,0.0000,0.0000
2026-06-07,agents,0,0,0,0,0,0.0000,0.0000
2026-06-07,fullsend,2,2,0,0,0,0.0000,0.0000
2026-06-08,agents,0,0,0,0,0,0.0000,0.0000
2026-06-08,fullsend,27,14,0,0,0,0.0000,0.0000
2026-06-09,agents,0,0,0,0,0,0.0000,0.0000
2026-06-09,fullsend,15,5,0,0,0,0.0000,0.0000
2026-06-10,agents,0,0,0,0,0,0.0000,0.0000
2026-06-10,fullsend,12,1,0,0,0,0.0000,0.0000
2026-06-11,agents,0,0,0,0,0,0.0000,0.0000
2026-06-11,fullsend,18,7,0,0,0,0.0000,0.0000
2026-06-12,agents,0,0,0,0,0,0.0000,0.0000
2026-06-12,fullsend,23,9,0,0,0,0.0000,0.0000
2026-06-13,agents,0,0,0,0,0,0.0000,0.0000
2026-06-13,fullsend,0,0,0,0,0,0.0000,0.0000
2026-06-14,agents,0,0,0,0,0,0.0000,0.0000
2026-06-14,fullsend,0,0,0,0,0,0.0000,0.0000
2026-06-15,agents,0,0,0,0,0,0.0000,0.0000
2026-06-15,fullsend,13,5,0,0,0,0.0000,0.0000
2026-06-16,agents,0,0,0,0,0,0.0000,0.0000
2026-06-16,fullsend,14,5,0,0,0,0.0000,0.0000
2026-06-17,agents,0,0,0,0,0,0.0000,0.0000
2026-06-17,fullsend,8,2,0,0,0,0.0000,0.0000
2026-06-18,agents,0,0,0,0,0,0.0000,0.0000
2026-06-18,fullsend,23,9,0,0,0,0.0000,0.0000
2026-06-19,agents,0,0,0,0,0,0.0000,0.0000
2026-06-19,fullsend,7,3,0,0,0,0.0000,0.0000
2026-06-20,agents,0,0,0,0,0,0.0000,0.0000
2026-06-20,fullsend,0,0,0,0,0,0.0000,0.0000
2026-06-21,agents,0,0,0,0,0,0.0000,0.0000
2026-06-21,fullsend,1,0,0,0,0,0.0000,0.0000
2026-06-22,agents,0,0,0,0,0,0.0000,0.0000
2026-06-22,fullsend,17,6,0,0,0,0.0000,0.0000
2026-06-23,agents,0,0,0,0,0,0.0000,0.0000
2026-06-23,fullsend,10,3,0,0,0,0.0000,0.0000
2026-06-24,agents,0,0,0,0,0,0.0000,0.0000
2026-06-24,fullsend,19,11,0,0,0,0.0000,0.0000
2026-06-25,agents,0,0,0,0,0,0.0000,0.0000
2026-06-25,fullsend,10,2,0,0,0,0.0000,0.0000
2026-06-26,agents,0,0,0,0,0,0.0000,0.0000
2026-06-26,fullsend,7,2,0,0,0,0.0000,0.0000
2026-06-27,agents,2,1,1,0,0,0.5000,0.0000
2026-06-27,fullsend,5,4,0,0,0,0.0000,0.0000
2026-06-28,agents,0,0,0,0,0,0.0000,0.0000
2026-06-28,fullsend,5,1,0,0,0,0.0000,0.0000
2026-06-29,agents,0,0,0,0,0,0.0000,0.0000
2026-06-29,fullsend,18,6,0,0,0,0.0000,0.0000
2026-06-30,agents,1,0,0,0,0,0.0000,0.0000
2026-06-30,fullsend,18,5,0,1,0,0.0000,0.0556
2026-07-01,agents,5,0,0,0,0,0.0000,0.0000
2026-07-01,fullsend,27,13,1,1,0,0.0370,0.0370
2026-07-02,agents,2,0,0,0,0,0.0000,0.0000
2026-07-02,fullsend,13,4,0,0,0,0.0000,0.0000
2026-07-03,agents,0,0,0,0,0,0.0000,0.0000
2026-07-03,fullsend,7,3,0,0,0,0.0000,0.0000
2026-07-04,agents,0,0,0,0,0,0.0000,0.0000
2026-07-04,fullsend,0,0,0,0,0,0.0000,0.0000
2026-07-05,agents,0,0,0,0,0,0.0000,0.0000
2026-07-05,fullsend,9,1,0,0,0,0.0000,0.0000
2026-07-06,agents,3,1,1,0,0,0.3333,0.0000
2026-07-06,fullsend,11,2,0,0,0,0.0000,0.0000
2026-07-07,agents,4,1,0,0,0,0.0000,0.0000
2026-07-07,fullsend,13,2,0,0,0,0.0000,0.0000
2026-07-08,agents,10,4,1,0,0,0.1000,0.0000
2026-07-08,fullsend,10,3,0,0,0,0.0000,0.0000
2026-07-09,agents,4,1,1,0,0,0.2500,0.0000
2026-07-09,fullsend,7,2,0,0,0,0.0000,0.0000
2026-07-10,agents,6,4,2,0,0,0.3333,0.0000
2026-07-10,fullsend,17,4,0,0,0,0.0000,0.0000
2026-07-11,agents,0,0,0,0,0,0.0000,0.0000
2026-07-11,fullsend,0,0,0,0,0,0.0000,0.0000
2026-07-12,agents,0,0,0,0,0,0.0000,0.0000
2026-07-12,fullsend,1,0,0,0,0,0.0000,0.0000
2026-07-13,agents,9,4,3,0,0,0.3333,0.0000
2026-07-13,fullsend,10,3,0,0,0,0.0000,0.0000
2026-07-14,agents,0,0,0,0,0,0.0000,0.0000
2026-07-14,fullsend,10,0,0,0,0,0.0000,0.0000
2026-07-15,agents,2,2,1,0,0,0.5000,0.0000
2026-07-15,fullsend,8,1,1,0,0,0.1250,0.0000
2026-07-16,agents,6,3,2,0,0,0.3333,0.0000
2026-07-16,fullsend,9,2,0,0,0,0.0000,0.0000
2026-07-17,agents,3,2,1,0,0,0.3333,0.0000
2026-07-17,fullsend,11,3,3,0,0,0.2727,0.0000
2026-07-18,agents,0,0,0,0,0,0.0000,0.0000
2026-07-18,fullsend,4,1,1,0,0,0.2500,0.0000
2026-07-19,agents,2,1,1,0,0,0.5000,0.0000
2026-07-19,fullsend,4,1,0,0,0,0.0000,0.0000
2026-07-20,agents,3,2,2,0,0,0.6667,0.0000
2026-07-20,fullsend,12,2,2,0,0,0.1667,0.0000
2026-07-21,agents,0,0,0,0,0,0.0000,0.0000
2026-07-21,fullsend,22,6,4,0,0,0.1818,0.0000
2026-07-22,agents,11,6,6,0,0,0.5455,0.0000
2026-07-22,fullsend,12,2,2,0,0,0.1667,0.0000
2026-07-23,agents,4,2,2,0,0,0.5000,0.0000
2026-07-23,fullsend,30,4,2,0,0,0.0667,0.0000
2026-07-24,agents,4,1,1,0,0,0.2500,0.0000
2026-07-24,fullsend,15,8,8,0,0,0.5333,0.0000
2026-07-25,agents,0,0,0,0,0,0.0000,0.0000
2026-07-25,fullsend,4,2,2,0,0,0.5000,0.0000
2026-07-26,agents,0,0,0,0,0,0.0000,0.0000
2026-07-26,fullsend,3,1,1,0,0,0.3333,0.0000
2026-07-27,agents,2,0,0,0,0,0.0000,0.0000
2026-07-27,fullsend,18,3,3,0,0,0.1667,0.0000
2026-07-28,agents,2,1,1,0,0,0.5000,0.0000
2026-07-28,fullsend,14,2,2,0,0,0.1429,0.0000
2026-07-29,agents,4,1,1,0,0,0.2500,0.0000
2026-07-29,fullsend,17,4,3,0,0,0.1765,0.0000
2026-07-30,agents,8,3,1,0,0,0.1250,0.0000
2026-07-30,fullsend,21,9,7,0,0,0.3333,0.0000
2026-07-31,agents,6,4,4,0,0,0.6667,0.0000
2026-07-31,fullsend,8,2,1,0,0,0.1250,0.0000
2026-08-01,agents,0,0,0,0,0,0.0000,0.0000
2026-08-01,fullsend,3,0,0,0,0,0.0000,0.0000
2026-08-02,agents,0,0,0,0,0,0.0000,0.0000
2026-08-02,fullsend,3,1,1,0,0,0.3333,0.0000
2026-08-03,agents,5,1,1,0,0,0.2000,0.0000
2026-08-03,fullsend,22,5,4,0,0,0.1818,0.0000
2026-08-04,agents,0,0,0,0,0,0.0000,0.0000
2026-08-04,fullsend,15,4,3,0,0,0.2000,0.0000
2026-08-05,agents,7,4,3,0,0,0.4286,0.0000
2026-08-05,fullsend,15,4,3,0,0,0.2000,0.0000
2026-08-06,agents,4,2,2,0,0,0.5000,0.0000
2026-08-06,fullsend,11,1,0,0,0,0.0000,0.0000
2026-08-07,agents,1,1,1,0,0,1.0000,0.0000
2026-08-07,fullsend,11,4,2,0,0,0.1818,0.0000
2026-08-08,agents,0,0,0,0,0,0.0000,0.0000
2026-08-08,fullsend,1,0,0,0,0,0.0000,0.0000
2026-08-09,agents,0,0,0,0,0,0.0000,0.0000
2026-08-09,fullsend,3,0,0,0,0,0.0000,0.0000
2026-08-10,agents,2,0,0,0,0,0.0000,0.0000
2026-08-10,fullsend,13,2,1,0,0,0.0769,0.0000
2026-08-11,agents,1,1,1,0,0,1.0000,0.0000
2026-08-11,fullsend,15,0,0,0,0,0.0000,0.0000
2026-08-12,agents,0,0,0,0,0,0.0000,0.0000
2026-08-12,fullsend,12,4,4,0,0,0.3333,0.0000
2026-08-13,agents,7,1,1,0,0,0.1429,0.0000
2026-08-13,fullsend,18,6,5,0,0,0.2778,0.0000
2026-08-14,agents,8,1,1,0,0,0.1250,0.0000
2026-08-14,fullsend,10,3,3,0,0,0.3000,0.0000
2026-08-15,agents,0,0,0,0,0,0.0000,0.0000
